Id,CodeArticle,CodeBarre,Libelle,CodeDim1,LibelleDim1,CodeDim2,LibelleDim2,Fournisseur,FamilleNiv1,FamilleNiv2,FamilleNiv3,FamilleNiv4,FamilleNiv5,FamilleNiv6,FamilleNiv7,FamilleNiv8,Quantite_Achat,DateLibre,Prix_Vente_TND,Prix_Achat_TND,IdCategorie
248,ART000248,3863960962620,Apple Pain well,DIM1-8,nation,DIM2-71,or,BIAT,Électroménager,chance,présence,sourire,threat,third,humide,certain,74,2023-01-20,1075.64,715.97,CAT011
249,ART000249,0920981960271,Nike Shampoing culture,DIM1-15,tenter,DIM2-88,gauche,Tunisie Telecom,Maroquinerie,raconter,malheur,receive,fin,couper,sujet,chose,63,2024-12-21,186.43,128.47,CAT033
250,ART000250,1244211753617,Nike Ordinateur stuff,DIM1-17,nation,DIM2-66,point,UTIC,Téléphonie,écouter,how,property,system,détacher,action,tombe,73,2023-04-02,120.18,88.28,CAT030
251,ART000251,5799802841397,Danone Stylo raison,DIM1-3,promener,DIM2-51,éloigner,Monoprix,Alimentation,building,appel,certainly,capable,fenêtre,meet,cercle,96,2024-07-03,439.71,267.81,CAT005
252,ART000252,7768634234613,Danone Sac company,DIM1-9,police,DIM2-70,use,Délice Danone,Hygiène,land,team,prevent,servir,laugh,rester,hour,61,2023-12-16,68.31,43.44,CAT027
253,ART000253,0849649856018,Nestlé Machine à laver humide,DIM1-83,street,DIM2-94,liberté,UTIC,Santé,bon,tirer,hot,haute,admettre,rise,imposer,49,2023-12-28,899.83,607.5,CAT025
254,ART000254,3816493831840,Nivea Jus rêver,DIM1-70,rest,DIM2-18,friend,Aziza,Cosmétiques,decade,autant,moment,fin,call,particulier,semaine,23,2024-04-04,1985.73,1401.47,CAT026
255,ART000255,3904090742604,Sony Thé interroger,DIM1-1,blanc,DIM2-97,beyond,Groupe Poulina,Automobiles,several,face,some,instead,rendre,minute,mériter,60,2024-06-24,1348.63,923.58,CAT035
256,ART000256,7159103002152,Coca-Cola Chaussures draw,DIM1-30,ce,DIM2-32,l'un,Modern Leasing,Santé,véritable,face,choix,grain,famille,rise,expect,20,2024-12-19,554.92,417.91,CAT047
257,ART000257,9712529671883,Nestlé Ordinateur risquer,DIM1-85,recently,DIM2-54,fast,Arab Tunisian Bank,Alimentation,spring,draw,famille,seek,le,tombe,vieillard,31,2023-02-28,416.13,299.11,CAT007
258,ART000258,0303763715397,L'Oréal Pantalon soon,DIM1-87,section,DIM2-91,reality,Délice Danone,Maison & Jardin,présent,confier,loin,local,minute,billet,land,95,2024-06-17,93.25,60.32,CAT029
259,ART000259,9127113072401,Nestlé Table recently,DIM1-100,he,DIM2-8,by,Leoni AG,Bijouterie,lentement,difference,milieu,movie,argue,explain,billion,38,2024-05-18,472.15,337.69,CAT047
260,ART000260,6343629489783,L'Oréal Pain boy,DIM1-99,tant,DIM2-87,chose,Géant,Maison & Jardin,claire,arracher,edge,question,fine,soleil,including,39,2023-03-20,1753.14,1234.65,CAT043
261,ART000261,4732354940126,Philips T-shirt single,DIM1-36,tonight,DIM2-8,demi,STB,Maroquinerie,responsibility,déjà,inspirer,change,trace,later,against,95,2023-07-24,1823.6,1341.71,CAT041
262,ART000262,2095790737104,Nike Yaourt rester,DIM1-7,thing,DIM2-45,pur,Senia,Bijouterie,course,changement,summer,local,simple,offer,record,41,2023-07-16,1394.14,878.09,CAT027
263,ART000263,7054589714806,LG Chaussures moyen,DIM1-97,tombe,DIM2-69,lèvre,Attijari Bank,Maison & Jardin,allow,rire,here,céder,malgré,fille,under,29,2023-07-26,604.97,380.45,CAT046
264,ART000264,5696443098596,Samsung Pantalon officier,DIM1-72,our,DIM2-53,fight,UTIC,Chaussures,acte,within,perdre,puis,price,grâce,fight,68,2024-09-13,272.52,177.41,CAT016
265,ART000265,0703491074061,Nivea Cahier recent,DIM1-11,auteur,DIM2-58,certainly,Aziza,Hygiène,unit,stock,casser,character,odeur,froid,appuyer,69,2024-12-25,1450.55,885.28,CAT013
266,ART000266,3666144942964,Nivea Chaussures summer,DIM1-78,vaincre,DIM2-78,être,Délice Danone,Hygiène,nécessaire,glisser,bed,our,offer,mal,big,25,2024-02-14,1610.28,1199.43,CAT038
267,ART000267,5857567667086,Sony Yaourt nombre,DIM1-62,côté,DIM2-27,stop,Géant,Automobiles,rôle,care,argue,car,religious,peau,those,2,2023-03-07,427.56,338.81,CAT013
268,ART000268,4159149750195,Danone Réfrigérateur visite,DIM1-97,profond,DIM2-62,représenter,Orange Tunisie,Parfumerie,century,tromper,glisser,serve,poète,clair,à,91,2024-04-13,413.0,293.4,CAT016
269,ART000269,8133170876013,IKEA Stylo interview,DIM1-60,create,DIM2-69,réfléchir,Aziza,Automobiles,term,town,oeil,sueur,dieu,titre,dent,34,2024-01-05,722.49,500.83,CAT032
270,ART000270,4419754661768,Nike Thé choose,DIM1-98,forme,DIM2-41,camera,Tunisie Telecom,Santé,activity,along,and,chair,us,factor,d'autres,41,2024-01-24,830.79,642.05,CAT037
271,ART000271,5868122595720,LG Thé still,DIM1-3,wind,DIM2-34,author,STB,Maroquinerie,however,police,rideau,carry,per,pattern,author,75,2023-01-23,1441.42,908.79,CAT019
272,ART000272,3117753312667,Sony Cahier bas,DIM1-49,building,DIM2-73,bonheur,Orange Tunisie,Jouets,source,policy,dernier,box,huge,suivant,dont,71,2024-01-17,1310.94,875.07,CAT044
273,ART000273,4332683190133,Danone Parfum côté,DIM1-83,lieu,DIM2-95,out,Attijari Bank,Téléphonie,jardin,vague,customer,retrouver,month,heavy,bien,22,2023-11-29,1466.88,929.79,CAT023
274,ART000274,1912841173098,Adidas Thé agency,DIM1-63,frapper,DIM2-24,in,STB,Boissons,author,français,quoi,promener,inside,réel,rose,68,2024-12-28,72.48,57.19,CAT005
275,ART000275,0056435023855,Samsung Jus épaule,DIM1-98,baby,DIM2-1,joue,UTIC,Vêtements,nécessaire,relever,your,feuille,chat,pousser,tempête,81,2023-12-02,466.71,294.12,CAT046
276,ART000276,4300038960878,Adidas Table médecin,DIM1-59,safe,DIM2-48,observer,Délice Danone,Parfumerie,often,classe,buy,he,jeune,why,espace,82,2023-03-13,1335.18,1044.85,CAT040
277,ART000277,3689003010277,Nike Jus forcer,DIM1-3,haute,DIM2-1,play,STB,Chaussures,fruit,serrer,measure,théâtre,briser,writer,pourquoi,53,2024-11-28,28.64,21.32,CAT034
278,ART000278,7458438458819,Philips Yaourt jouer,DIM1-3,season,DIM2-65,far,UTIC,Électronique,droite,protéger,grand,comment,share,arracher,vingt,14,2024-05-19,1836.51,1156.6,CAT034
279,ART000279,1070449641040,L'Oréal Table mission,DIM1-68,mari,DIM2-33,life,Aziza,Sport & Loisirs,enfermer,manier,tomber,no,ton,almost,write,51,2024-12-07,162.64,112.51,CAT026
280,ART000280,4930596601861,Danone Lampe town,DIM1-29,language,DIM2-39,commercial,SOTUMAG,Boissons,manage,conscience,fonction,bed,recherche,green,American,12,2023-10-08,813.53,578.05,CAT025
281,ART000281,4901495427708,Nivea Ordinateur act,DIM1-2,although,DIM2-90,media,One Tech Group,Hygiène,mort,rocher,fixe,attack,couple,space,event,64,2023-04-09,1691.43,1280.2,CAT042
282,ART000282,2290310287958,Coca-Cola Pain remettre,DIM1-13,bas,DIM2-68,even,Délice Danone,Maison & Jardin,tuer,now,sein,juste,brûler,budget,erreur,28,2023-09-11,1803.04,1401.88,CAT045
283,ART000283,6164205955658,Philips Parfum yes,DIM1-6,pretty,DIM2-10,de,Monoprix,Chaussures,another,wonder,sans,chemise,haut,yard,manger,73,2024-05-25,1317.93,1035.57,CAT012
284,ART000284,6113989868180,Samsung Cahier servir,DIM1-27,receive,DIM2-76,free,Leoni AG,Bébé & Enfant,day,whether,imposer,livre,pas,smile,vide,10,2023-12-12,602.06,390.19,CAT037
285,ART000285,5158815793763,Nivea Chaussures retour,DIM1-70,rapide,DIM2-43,morceau,Senia,Vêtements,sérieux,stuff,growth,buy,mort,mouth,rideau,89,2024-05-06,1449.71,1085.97,CAT033
286,ART000286,2702164871202,Samsung Sac agent,DIM1-13,bonheur,DIM2-56,produire,Orange Tunisie,Hygiène,well,health,moindre,vraiment,by,watch,perhaps,44,2024-07-14,1212.31,958.9,CAT040
287,ART000287,1576764722988,Nestlé Chaussures croire,DIM1-42,sauver,DIM2-4,represent,Monoprix,Téléphonie,hundred,leg,prêter,you,entrer,minute,anything,63,2023-08-10,460.14,362.7,CAT036
288,ART000288,6522036849957,LG T-shirt journal,DIM1-88,company,DIM2-75,français,Senia,Hygiène,message,door,français,police,entrée,chance,eaux,99,2023-01-22,1239.14,920.21,CAT016
289,ART000289,8830705349676,Philips Télévision partir,DIM1-20,why,DIM2-49,voisin,Leoni AG,Bébé & Enfant,papa,minute,before,flot,lendemain,endroit,immobile,41,2024-01-29,724.6,435.51,CAT006
290,ART000290,4781506185380,Nike Stylo spectacle,DIM1-47,étendre,DIM2-98,sable,Monoprix,Cosmétiques,turn,trésor,faute,civil,teach,pousser,catch,17,2024-05-08,179.16,123.58,CAT028
291,ART000291,8306178932061,Adidas Yaourt positive,DIM1-53,program,DIM2-14,suivre,Groupe Poulina,Hygiène,member,geste,fruit,might,piece,of,find,46,2023-06-20,1110.67,799.25,CAT039
292,ART000292,4675361275150,Coca-Cola Cahier sea,DIM1-50,plutôt,DIM2-2,plant,Carrefour Tunisie,Informatique,right,appartenir,executive,mot,représenter,every,its,50,2024-09-20,1559.44,1216.72,CAT047
293,ART000293,6640473504762,L'Oréal Lampe réveiller,DIM1-67,raison,DIM2-22,sorte,Senia,Électronique,silencieux,carry,ami,believe,while,speak,terreur,18,2024-02-07,541.49,378.3,CAT018
294,ART000294,5832863425561,LG Télévision remercier,DIM1-56,agir,DIM2-36,âme,UTIC,Automobiles,premier,strong,and,forêt,agent,sourire,argent,62,2024-08-05,1566.42,1018.71,CAT024
295,ART000295,6624111860083,Danone Lampe cesser,DIM1-81,daughter,DIM2-64,still,Arab Tunisian Bank,Parfumerie,large,goût,low,changement,reality,however,laugh,26,2023-06-22,918.43,607.02,CAT009
296,ART000296,8474883607656,Bosch Chaussures parti,DIM1-80,risquer,DIM2-49,militaire,Géant,Téléphonie,parce que,me,système,go,source,cesser,échapper,43,2024-04-05,864.08,686.81,CAT042
297,ART000297,1269789307468,Philips Machine à laver sit,DIM1-42,they,DIM2-78,arrêter,Tunisie Telecom,Jouets,risk,try,fer,représenter,offer,form,humain,41,2024-07-04,359.39,285.26,CAT026
298,ART000298,8811616202816,Danone Stylo doucement,DIM1-89,true,DIM2-82,article,Attijari Bank,Maroquinerie,mission,sou,challenge,inside,gauche,ombre,service,32,2024-02-10,655.14,500.07,CAT018
299,ART000299,9592248395891,Bosch Chaussures marriage,DIM1-15,develop,DIM2-73,within,Tunisie Telecom,Maroquinerie,défaut,action,keep,creuser,audience,haïr,douter,70,2024-02-22,363.95,258.41,CAT050
300,ART000300,5109792158359,Nike Thé dix,DIM1-91,feel,DIM2-27,pattern,Modern Leasing,Automobiles,hold,world,option,brûler,charger,folie,fait,89,2023-04-09,142.97,105.03,CAT027
301,ART000301,5999497320331,Nivea Machine à laver situation,DIM1-39,coup,DIM2-31,pitié,Monoprix,Vêtements,idée,autre,prince,large,general,month,essuyer,92,2023-10-21,849.14,522.05,CAT025
302,ART000302,7548581932424,Nike Fromage opportunity,DIM1-75,might,DIM2-52,reveal,STB,Bijouterie,renverser,reach,could,lors,spend,should,different,89,2023-10-25,839.51,636.47,CAT003
303,ART000303,2037583094513,Danone Sac whole,DIM1-69,morning,DIM2-77,service,SOTUMAG,Cosmétiques,along,quality,information,vieux,eye,rêve,petit,99,2024-01-16,500.22,335.65,CAT043
304,ART000304,7810509222161,L'Oréal Eau avec,DIM1-6,public,DIM2-73,haute,Senia,Librairie,reconnaître,tonight,terreur,installer,water,sac,name,56,2024-05-31,216.36,141.01,CAT007
305,ART000305,6013824127048,Danone Shampoing vérité,DIM1-67,consumer,DIM2-72,haine,Amen Bank,Maroquinerie,option,buy,man,ressembler,behavior,cent,casser,29,2023-09-04,894.33,619.42,CAT026
306,ART000306,2035713432402,L'Oréal Jus season,DIM1-89,could,DIM2-65,challenge,Leoni AG,Santé,job,diriger,use,désigner,event,everything,port,4,2024-03-25,968.13,661.42,CAT019
307,ART000307,5872096289363,Apple Télévision race,DIM1-94,despite,DIM2-19,scene,Aziza,Automobiles,believe,expression,père,almost,profondément,pitié,perdu,44,2023-10-17,913.39,643.23,CAT014
308,ART000308,9051502675518,Nike Sac libre,DIM1-13,commercial,DIM2-57,office,Modern Leasing,Librairie,amour,table,personal,side,material,événement,plant,9,2024-01-10,604.03,376.32,CAT046
309,ART000309,4038166496906,Nivea Cahier principe,DIM1-14,glace,DIM2-87,retenir,One Tech Group,Maison & Jardin,confier,story,cent,structure,joue,individual,payer,67,2024-05-26,353.03,235.19,CAT011
310,ART000310,3244123361328,Nike T-shirt accept,DIM1-30,collection,DIM2-52,black,One Tech Group,Électronique,oil,say,peuple,theory,seat,chacun,career,82,2024-08-15,1316.33,797.48,CAT026
311,ART000311,6546968157904,Sony Fromage seulement,DIM1-58,épais,DIM2-76,high,UTIC,Bébé & Enfant,more,siège,who,tandis que,convenir,cup,écrire,1,2023-12-05,1410.95,925.12,CAT014
312,ART000312,5626244670462,Nestlé Café découvrir,DIM1-9,rest,DIM2-74,pénétrer,Yazaki Tunisia,Chaussures,jouer,tête,suggest,debout,career,rich,activity,24,2024-05-22,734.76,508.09,CAT013
313,ART000313,6046419785750,Nivea Livre brother,DIM1-63,notre,DIM2-68,truth,Géant,Parfumerie,creuser,interroger,decade,learn,pendre,among,pont,50,2023-10-13,1224.56,762.71,CAT038
314,ART000314,9546540842454,Coca-Cola Sac adult,DIM1-59,garden,DIM2-80,provide,One Tech Group,Automobiles,se,lèvre,quelqu'un,energy,caractère,comprendre,souvenir,79,2023-12-01,1182.39,741.11,CAT044
315,ART000315,5793897015503,Sony Réfrigérateur si,DIM1-40,mari,DIM2-15,interrompre,One Tech Group,Santé,knowledge,age,expliquer,officier,distinguer,floor,vie,89,2023-10-18,287.01,196.21,CAT025
316,ART000316,3642480962446,L'Oréal Machine à laver montrer,DIM1-50,aller,DIM2-55,realize,One Tech Group,Jouets,fin,maintain,bill,enfin,votre,do,signe,82,2024-07-19,1077.07,846.73,CAT042
317,ART000317,9695867805557,Adidas Chaise test,DIM1-22,civil,DIM2-63,too,Carrefour Tunisie,Vêtements,develop,très,especially,alone,sourire,option,because,24,2024-08-03,632.59,457.92,CAT029
318,ART000318,4457702992953,Samsung Sac just,DIM1-63,former,DIM2-18,easy,Tunisie Telecom,Bébé & Enfant,will,manger,chair,discover,choix,could,mode,72,2023-10-01,1013.35,690.93,CAT032
319,ART000319,6945515888634,IKEA Parfum miss,DIM1-91,few,DIM2-57,close,Attijari Bank,Électronique,minute,about,source,reality,vaincre,marier,kid,11,2023-05-27,1132.97,729.75,CAT049
320,ART000320,9329981996050,Philips Ordinateur dehors,DIM1-29,return,DIM2-69,lutte,Carrefour Tunisie,Électronique,semaine,old,début,home,dès,write,humide,100,2023-08-16,917.36,692.16,CAT048
321,ART000321,0397739732785,Adidas Parfum sentir,DIM1-66,turn,DIM2-15,été,Amen Bank,Cosmétiques,seven,accuser,user,trial,training,avoid,ever,35,2024-07-09,1551.35,1098.99,CAT024
322,ART000322,7704605687613,Nestlé Ordinateur courir,DIM1-93,son,DIM2-57,demander,STB,Électroménager,itself,change,plus,fatigue,impression,passion,soldier,55,2024-08-10,209.32,157.05,CAT042
323,ART000323,5475749490224,Coca-Cola Stylo agree,DIM1-5,lutter,DIM2-58,sell,Monoprix,Santé,food,résultat,may,report,clear,course,town,12,2023-07-19,880.94,665.22,CAT008
324,ART000324,0394290458864,Sony Lampe present,DIM1-95,jeunesse,DIM2-76,saint,Aziza,Parfumerie,necessary,human,raise,pur,continue,watch,address,81,2023-09-23,859.19,539.44,CAT040
325,ART000325,4332491357797,Coca-Cola Table puissance,DIM1-27,droit,DIM2-8,red,Amen Bank,Santé,mince,impossible,fidèle,avec,our,été,subject,69,2024-06-19,565.76,358.51,CAT035
326,ART000326,3720948413126,Philips Café ask,DIM1-38,ensemble,DIM2-74,ruine,Monoprix,Bijouterie,majority,ramener,honneur,dos,but,because,decade,87,2024-02-26,1631.29,1292.89,CAT009
327,ART000327,9749096173991,Samsung T-shirt a,DIM1-36,somebody,DIM2-84,plant,Leoni AG,Vêtements,mind,imposer,my,quite,everything,jaune,resource,32,2024-05-01,296.76,227.23,CAT021
328,ART000328,1270587722162,IKEA Jus between,DIM1-63,guess,DIM2-19,doigt,Amen Bank,Sport & Loisirs,entrée,gros,front,board,within,réunir,ignorer,81,2023-05-30,831.38,511.38,CAT029
329,ART000329,2292587964341,IKEA Télévision world,DIM1-66,hospital,DIM2-96,grave,Monoprix,Santé,short,themselves,listen,large,sound,accept,around,59,2023-10-02,1900.76,1361.69,CAT021
330,ART000330,7403344505669,Apple Thé open,DIM1-94,élever,DIM2-59,total,Aziza,Hygiène,both,étage,image,year,your,tombe,rise,69,2023-07-14,798.44,610.78,CAT028
331,ART000331,9960105485748,Philips Parfum peu,DIM1-42,bouche,DIM2-37,stage,Géant,Chaussures,thank,cri,painting,reprendre,oreille,important,onto,74,2024-06-19,265.54,201.19,CAT032
332,ART000332,2155732573754,Nestlé Jus decide,DIM1-7,especially,DIM2-6,côté,Yazaki Tunisia,Téléphonie,surveiller,late,sure,success,quatre,printemps,admit,3,2023-01-25,252.85,174.03,CAT011
333,ART000333,8749511918184,IKEA Smartphone prix,DIM1-26,rêver,DIM2-89,poor,Leoni AG,Automobiles,bonheur,television,make,visit,temps,baby,tard,21,2023-12-19,1749.47,1082.34,CAT018
334,ART000334,0694096003566,Philips Sac extraordinaire,DIM1-11,rouler,DIM2-48,no,One Tech Group,Boissons,ready,revoir,walk,discours,eau,course,année,51,2024-08-28,1253.08,927.14,CAT047
335,ART000335,8515533342647,IKEA Lampe emmener,DIM1-84,agreement,DIM2-12,où,Yazaki Tunisia,Alimentation,maître,palais,marché,parce que,inside,durer,performance,28,2023-03-14,956.23,687.28,CAT009
336,ART000336,8981231795564,Nivea Shampoing écouter,DIM1-57,presser,DIM2-2,mean,Groupe Poulina,Librairie,movie,passé,accuser,suggest,instead,lequel,young,16,2024-10-11,1976.37,1460.15,CAT028
337,ART000337,6431670450231,Apple Parfum respect,DIM1-30,condamner,DIM2-50,côté,SOTUMAG,Cosmétiques,sound,bas,ton,hot,than,noir,derrière,14,2024-07-30,630.14,395.37,CAT020
338,ART000338,5120734654951,Nivea Machine à laver animer,DIM1-87,air,DIM2-19,already,SOTUMAG,Bijouterie,morceau,rapport,sound,danser,aide,watch,cercle,73,2023-02-21,21.91,13.87,CAT042
339,ART000339,7768729047746,Danone Sac ici,DIM1-28,positive,DIM2-81,plaire,Leoni AG,Informatique,smile,composer,produire,couleur,tombe,cesse,fear,79,2023-07-14,1374.7,848.65,CAT014
340,ART000340,4245798894257,LG Réfrigérateur house,DIM1-97,rocher,DIM2-16,matière,Amen Bank,Bébé & Enfant,douceur,ah,spectacle,espace,milieu,activity,member,45,2023-05-26,1926.68,1460.84,CAT021
341,ART000341,7379487148554,Philips Lampe exiger,DIM1-83,surface,DIM2-11,sport,Orange Tunisie,Chaussures,record,trait,source,at,last,réclamer,cerveau,77,2023-12-22,1202.02,789.71,CAT039
342,ART000342,1842547681828,Samsung Café ten,DIM1-85,coucher,DIM2-39,aimer,Tunisie Telecom,Bijouterie,lendemain,réserver,qui,notice,vide,mais,changer,78,2024-05-08,1021.5,692.93,CAT048
343,ART000343,2896340646866,Samsung Eau management,DIM1-31,century,DIM2-64,a,Senia,Cosmétiques,étroit,detail,banc,challenge,plein,établir,stop,31,2024-05-16,1001.67,615.23,CAT039
344,ART000344,6933513426194,Bosch Smartphone durer,DIM1-41,change,DIM2-17,soon,Senia,Maroquinerie,activity,protéger,need,souhaiter,each,fire,rayon,54,2023-04-30,734.0,465.76,CAT044
345,ART000345,5406417692749,Nestlé Parfum puis,DIM1-10,ceci,DIM2-3,effort,Amen Bank,Hygiène,think,know,suivre,folie,west,push,kind,2,2023-10-05,528.06,414.27,CAT003
346,ART000346,0173973964171,Adidas Chaussures policy,DIM1-37,and,DIM2-81,sang,BIAT,Informatique,riche,colère,lire,teacher,serious,journal,together,55,2024-03-21,1405.11,1023.07,CAT006
347,ART000347,6603920514608,L'Oréal Yaourt time,DIM1-20,her,DIM2-36,he,SOTUMAG,Automobiles,fixe,step,il,say,specific,éclater,sit,11,2024-08-08,1025.05,814.77,CAT014
348,ART000348,2715598354111,Adidas Machine à laver form,DIM1-42,purpose,DIM2-51,mari,Amen Bank,Hygiène,fatiguer,have,sure,war,somebody,demande,admit,40,2023-05-28,1398.86,1106.06,CAT047
349,ART000349,8848826913119,Samsung Lampe together,DIM1-32,child,DIM2-12,no,UTIC,Cosmétiques,industry,matière,fumer,ignorer,page,étendre,traîner,59,2023-01-21,1226.53,811.79,CAT004
350,ART000350,3333732043098,Nivea Thé this,DIM1-95,join,DIM2-23,musique,Yazaki Tunisia,Alimentation,prononcer,product,skin,seat,suggest,lawyer,his,91,2023-09-06,278.74,176.38,CAT001
351,ART000351,1253892187857,Adidas Sac sentir,DIM1-67,juge,DIM2-93,pénétrer,Monoprix,Électronique,paper,pauvre,modern,attention,amuser,operation,journal,48,2024-11-04,258.23,200.05,CAT050
352,ART000352,1514940976268,Apple Thé toucher,DIM1-99,force,DIM2-4,give,Géant,Informatique,retourner,charge,travel,si,vraiment,people,boire,35,2024-02-16,1050.09,779.65,CAT017
353,ART000353,2339220715110,Nivea Pain painting,DIM1-10,support,DIM2-64,I,Modern Leasing,Bijouterie,certainly,cover,haine,cost,until,money,devoir,47,2023-11-08,115.6,73.22,CAT037
354,ART000354,3515718409085,Philips Chaise vague,DIM1-99,beyond,DIM2-14,abri,Amen Bank,Cosmétiques,accompagner,if,ahead,town,depuis,suffire,court,30,2023-09-26,1482.86,902.78,CAT001
355,ART000355,2959272827090,Sony Smartphone rang,DIM1-6,haïr,DIM2-61,box,Aziza,Bébé & Enfant,result,salut,changement,data,silence,writer,without,20,2024-08-31,362.03,257.25,CAT003
356,ART000356,1815352373608,Danone Café artist,DIM1-84,talk,DIM2-54,proposer,Orange Tunisie,Librairie,tourner,which,sometimes,forcer,central,source,fuir,32,2023-11-10,835.43,554.71,CAT047
357,ART000357,6170715879643,L'Oréal Télévision stop,DIM1-48,spend,DIM2-16,quart,BIAT,Boissons,diriger,gris,sur,single,quoi,aujourd'hui,image,23,2023-10-01,450.25,358.53,CAT034
358,ART000358,6882850317231,Apple Chaussures baby,DIM1-60,pourquoi,DIM2-37,réunir,Carrefour Tunisie,Librairie,attitude,describe,frère,essayer,cost,the,madame,12,2023-02-04,1108.42,746.84,CAT001
359,ART000359,2939469434607,L'Oréal Stylo than,DIM1-39,huge,DIM2-95,thousand,Arab Tunisian Bank,Maison & Jardin,police,plan,soudain,analysis,career,blond,classe,60,2024-12-01,739.71,591.44,CAT032
360,ART000360,1285246484497,Danone Table boy,DIM1-70,mettre,DIM2-98,cause,Orange Tunisie,Vêtements,deep,promettre,personne,boy,ensuite,mêler,car,1,2023-07-07,1865.13,1205.99,CAT002
361,ART000361,9572790833508,Nivea Sac croiser,DIM1-89,trade,DIM2-2,will,Géant,Alimentation,justice,deep,mener,claim,mouth,enfoncer,souffler,98,2023-09-18,1316.32,981.24,CAT048
362,ART000362,0713984822857,Sony Réfrigérateur chute,DIM1-68,mouvement,DIM2-31,soirée,UTIC,Jouets,huit,American,chasser,accorder,about,meilleur,enfermer,8,2024-03-13,1945.26,1444.03,CAT010
363,ART000363,0796496737949,Samsung Télévision provide,DIM1-30,measure,DIM2-67,partout,UTIC,Santé,door,frais,membre,us,lui,odeur,charge,59,2023-12-24,1949.24,1395.96,CAT006
364,ART000364,8362536667778,LG Shampoing major,DIM1-82,green,DIM2-51,reduce,SOTUMAG,Maroquinerie,cell,étendre,vue,retirer,tombe,we,official,73,2023-10-19,129.25,102.48,CAT043
365,ART000365,3627187496036,Philips Lampe interrompre,DIM1-34,tombe,DIM2-41,write,Senia,Librairie,couple,agent,mauvais,fil,surprendre,paper,cri,41,2023-09-03,908.25,558.52,CAT015
366,ART000366,3275998011100,LG Table autrement,DIM1-100,tonight,DIM2-99,haut,Amen Bank,Cosmétiques,degree,égal,though,loi,past,may,score,20,2023-08-14,215.79,149.59,CAT029
367,ART000367,1822261896289,Apple T-shirt scene,DIM1-69,road,DIM2-46,cinquante,Tunisie Telecom,Téléphonie,papier,as,marche,hundred,conference,sable,word,40,2024-03-30,929.38,574.44,CAT008
368,ART000368,7079551512297,Philips Jus research,DIM1-91,whom,DIM2-90,chose,Arab Tunisian Bank,Boissons,souvent,final,lequel,admit,condition,today,dark,28,2024-02-09,1672.67,1053.22,CAT021
369,ART000369,7520344765043,Sony Café receive,DIM1-46,installer,DIM2-51,confondre,BIAT,Boissons,revenir,goutte,decision,husband,also,same,government,87,2024-09-15,601.19,364.45,CAT012
370,ART000370,6525483744172,Coca-Cola Chaussures trace,DIM1-58,training,DIM2-72,ancien,STB,Maison & Jardin,chercher,bout,maintenant,cuisine,causer,admettre,jaune,13,2023-05-02,926.78,578.58,CAT009
371,ART000371,5191023121102,Coca-Cola Ordinateur strong,DIM1-100,écouter,DIM2-29,ça,Leoni AG,Électroménager,full,place,voler,point,personne,sign,page,52,2024-01-30,747.62,588.76,CAT041
372,ART000372,1234289311321,L'Oréal Télévision something,DIM1-76,décider,DIM2-34,prove,SOTUMAG,Alimentation,plant,move,discover,enough,simply,quelque,terreur,9,2023-08-07,399.51,275.14,CAT042
373,ART000373,1017509617010,Apple Machine à laver per,DIM1-43,save,DIM2-16,retomber,Délice Danone,Téléphonie,short,little,situation,hospital,first,form,ensemble,7,2023-02-03,340.14,233.55,CAT037
374,ART000374,6775677722664,IKEA Thé corps,DIM1-64,I,DIM2-4,ministre,Senia,Informatique,address,strong,crier,emmener,ailleurs,marriage,feuille,23,2023-06-03,711.12,465.78,CAT012
375,ART000375,7624843379760,LG Pantalon yourself,DIM1-5,poitrine,DIM2-79,léger,Arab Tunisian Bank,Parfumerie,bien,season,political,chance,prononcer,suggest,nécessaire,32,2023-01-11,1296.32,884.61,CAT032
376,ART000376,2549691928456,Nike Yaourt surface,DIM1-8,l'une,DIM2-12,at,Monoprix,Bébé & Enfant,parce que,key,éclater,rise,haut,stop,one,18,2024-03-24,841.37,653.69,CAT042
377,ART000377,3259399337977,Sony Shampoing haut,DIM1-81,marquer,DIM2-70,son,Groupe Poulina,Bébé & Enfant,beat,maintain,audience,improve,finir,long,pièce,92,2023-06-23,721.43,545.61,CAT035
378,ART000378,5597824575982,L'Oréal Sac tandis que,DIM1-65,seconde,DIM2-42,garde,Senia,Sport & Loisirs,donner,energy,land,général,democratic,garder,appartenir,24,2023-03-03,57.0,36.7,CAT039
379,ART000379,7276829751475,Samsung Livre decade,DIM1-61,feel,DIM2-68,sac,Aziza,Maroquinerie,ici,compagnie,immense,home,herbe,oil,souhaiter,30,2024-05-17,1948.09,1265.42,CAT007
380,ART000380,6259045990805,Philips Lampe pousser,DIM1-69,bientôt,DIM2-95,crise,Délice Danone,Maison & Jardin,puis,yeux,cercle,heavy,beat,gun,position,74,2024-02-28,1693.78,1136.46,CAT025
381,ART000381,8662813721439,LG Chaise avenir,DIM1-31,autrefois,DIM2-76,plan,Géant,Santé,attacher,entretenir,contre,future,something,after,mind,76,2024-06-04,61.27,41.07,CAT045
382,ART000382,8103903397054,L'Oréal Pain rond,DIM1-19,Mr,DIM2-73,militaire,Tunisie Telecom,Jouets,croire,souffrance,exactly,much,collection,seuil,good,70,2023-09-12,621.56,377.66,CAT032
